limit_bal,age,bill_amt,pay_amt,customer_segments
-1.117341095,24,-0.660702656,-0.542779298,2
-0.349942401,26,-0.63637003,-0.463994212,2
-0.580162009,34,-0.416807857,-0.354013082,0
-0.887121487,37,-0.08015157,-0.402077285,0
-0.887121487,57,-0.39685474,0.523770838,1
-0.887121487,37,-0.06255046,-0.413334908,0
2.566172637,29,6.392438788,2.748065166,2
-0.50342214,23,-0.645692388,-0.467813762,2
-0.196462662,28,-0.511409932,-0.431811299,2
-1.117341095,35,-0.610819863,-0.297158431,0
0.263976554,34,-0.591224998,-0.437092879,0
0.724415771,51,-0.451293573,0.656431691,1
3.56379094,41,-0.574246936,-0.128275809,0
-0.733641748,30,0.198535277,-0.359824647,2
0.647675901,29,0.28915244,-0.226414504,2
-0.887121487,23,-0.170799886,-0.442063777,2
-1.117341095,24,-0.405104936,-0.439322473,2
1.184854987,49,1.827102698,6.058427717,1
0.110496815,29,-0.680702502,-0.555371023,2
-0.273202532,39,-0.359098021,0.216415797,0
-0.349942401,39,-0.675780422,-0.52649595,0
-0.733641748,26,0.008479627,-0.354159285,2
2.18247329,40,-0.610700445,-0.142548867,0
-0.580162009,23,-0.597982475,-0.255655083,2
-0.887121487,23,-0.124385394,-0.41116014,2
-0.810381618,27,-0.68172534,-0.509682617,2
-0.887121487,30,-0.389250956,-0.425396647,2
-0.887121487,47,-0.576321167,0.167730232,1
-0.887121487,26,-0.428674328,-0.434753632,2
0.494196163,27,-0.385414018,1.226275759,2
-0.887121487,33,-0.286445413,-0.428649661,0
-0.50342214,32,0.604949594,-0.212817634,2
2.566172637,54,-0.354266802,2.34131043,1
2.566172637,58,-0.529306991,0.274787304,1
-0.042982923,30,-0.61499169,-0.513703197,2
0.87789551,40,2.096994182,0.210786985,0
-0.810381618,22,-0.596905121,0.419601273,2
-0.887121487,25,-0.678677596,-0.54111624,2
0.87789551,31,-0.546635518,0.127341682,2
1.491814465,33,3.60470324,3.900893286,0
-0.733641748,25,0.339165036,-0.201888968,2
-1.194080965,22,-0.621614172,-0.42329498,2
-0.196462662,37,0.319118461,-0.189863779,0
-0.963861357,30,-0.298605236,-0.317791314,2
0.340716424,29,-0.680702502,-0.555371023,2
-1.117341095,22,-0.474764316,-0.188493127,2
-0.119722793,46,-0.655165316,-0.515475907,1
1.645294204,32,-0.382638857,1.150305078,2
-1.117341095,24,-0.380055803,-0.44122311,2
-0.733641748,42,-0.086179561,-0.407340589,0
-0.50342214,43,0.007726777,-0.379817894,0
1.108115118,49,-0.566152502,0.005097784,1
0.110496815,25,-0.007937692,-0.368121662,2
-0.119722793,29,-0.221850895,-0.320221938,2
2.566172637,45,-0.658926969,-0.43689185,1
0.110496815,34,-0.536871834,-0.02211423,0
0.110496815,34,1.791661642,0.067124363,0
0.263976554,34,-0.663187061,-0.520647834,0
1.798773943,29,5.249002627,1.437173438,2
2.566172637,28,-0.395920167,-0.39425543,2
-0.733641748,39,-0.046641963,-0.333873633,0
-0.887121487,29,-0.271375436,-0.443434429,2
-0.887121487,46,-0.53043367,-0.53709566,1
-0.273202532,51,-0.674337027,-0.512369095,1
0.263976554,57,0.538488527,-0.381353024,1
-1.194080965,56,-0.621377933,-0.500362182,1
0.340716424,30,-0.658405166,-0.387274241,2
-0.273202532,29,-0.660191238,0.200845188,2
-1.117341095,22,-0.451405202,-0.487752183,2
-0.656901879,31,-0.674627783,-0.519734066,2
1.184854987,29,0.259456407,-0.303171025,2
0.263976554,32,-0.612102304,-0.198782156,2
0.954635379,37,-0.666387971,-0.454600676,0
1.338334726,32,-0.311549062,2.039675578,2
-1.117341095,24,-0.417651568,-0.453211748,2
-0.887121487,25,-0.303223581,-0.43917627,2
1.031375249,45,-0.676169827,-0.52346224,1
-1.040601226,22,-0.293410572,-0.401656951,2
0.570936032,44,-0.680702502,-0.555371023,0
2.335953029,33,0.915398917,-0.154665432,0
1.491814465,26,0.084875716,2.393450039,2
-0.810381618,30,-0.308000283,-0.457689212,2
1.798773943,44,1.138992731,-0.139551707,0
-0.887121487,49,-0.219909061,-0.444768531,1
-0.042982923,33,1.050885932,1.304092251,0
1.491814465,45,-0.671590423,-0.512606675,1
-0.042982923,32,-0.598608119,-0.405220647,2
-0.273202532,35,-0.092612533,0.480933389,0
-1.117341095,44,-0.521542253,-0.44295927,0
0.263976554,53,1.557512354,0.044060856,1
0.87789551,39,-0.64082742,-0.482854385,0
-0.50342214,27,-0.671473602,-0.417300661,2
-0.042982923,37,-0.669897809,-0.354013082,0
-0.810381618,23,-0.167105729,-0.44094898,2
-0.580162009,35,0.240152298,-0.340525865,0
1.491814465,43,-0.528938354,1.648875233,0
-0.119722793,27,0.56386476,-0.119668113,2
-0.887121487,22,-0.463170428,-0.486235327,2
-1.117341095,38,-0.438708,-0.451475589,0
-0.196462662,32,-0.645191353,-0.317663387,2
1.645294204,30,-0.3364632,0.21254142,2
2.412692898,63,6.486986346,1.838171435,1
-0.887121487,22,-0.147565381,-0.429819285,2
-0.810381618,26,0.207239779,-0.308342952,2
-0.733641748,24,-0.597346446,-0.033993216,2
-0.656901879,36,-0.634324355,-0.321556039,0
1.415074596,52,-0.652179877,-0.276032112,1
-0.273202532,38,1.087035706,4.703693395,0
1.491814465,35,-0.682306851,-0.555371023,0
1.261594857,31,0.979668931,0.043092262,2
-0.887121487,47,-0.438910491,-0.427443487,1
0.87789551,41,1.538927346,0.186681783,0
-0.50342214,24,0.189451754,-0.228863402,2
-0.887121487,41,-0.371488891,-0.455386516,0
-1.040601226,24,-0.375253141,-0.440016937,2
0.570936032,28,-0.661346473,-0.41545485,2
-0.656901879,26,-0.423638022,-0.414650734,2
1.798773943,34,-0.494234571,0.502607968,0
0.570936032,38,-0.136306382,-0.353007937,0
-0.887121487,37,0.07278339,-0.368322691,0
2.18247329,40,-0.680702502,-0.555371023,0
-0.426682271,48,-0.680702502,-0.555371023,1
1.108115118,35,3.541845468,0.431005099,0
-1.117341095,27,-0.38968709,-0.476640762,2
-1.117341095,23,-0.680702502,-0.555371023,2
0.263976554,52,0.922828767,-0.152289635,1
0.110496815,36,1.05573792,-0.285425648,0
-0.887121487,51,-0.601398855,-0.442063777,1
-0.810381618,55,0.004974981,-0.418104777,1
-1.040601226,23,-0.595614892,0.027357175,2
0.570936032,41,-0.651421835,-0.391916183,0
1.952253682,34,2.823712367,0.418870259,0
1.261594857,46,2.874091003,0.341876158,1
-1.040601226,22,-0.360139031,-0.455587545,2
0.570936032,34,-0.478969891,-0.470810922,0
-0.119722793,27,-0.315105628,-0.189863779,2
0.340716424,33,-0.568408455,-0.426602821,0
-0.887121487,51,-0.662706795,-0.442429284,1
-0.887121487,24,-0.139870737,-0.391623778,2
0.570936032,47,-0.680702502,-0.555371023,1
0.110496815,28,-0.670764884,-0.453394502,2
-0.887121487,23,-0.422430867,-0.308653633,2
0.033756946,29,-0.504203342,0.647988474,2
-1.117341095,29,-0.611881641,-0.123323186,2
-0.887121487,28,-0.5556152,-0.424099096,2
0.033756946,27,-0.408087779,-0.486801864,2
0.263976554,34,1.381257221,1.034585485,0
-0.656901879,23,-0.519878195,-0.480058255,2
0.724415771,60,-0.626087139,-0.108191186,1
-0.196462662,32,0.387105996,-0.258085706,2
-0.656901879,25,-0.014747089,0.595976793,2
1.415074596,41,-0.668386917,-0.47247398,0
0.87789551,56,1.841658661,1.878907217,1
-1.040601226,26,-0.498793207,-0.396375372,2
-0.196462662,34,-0.101838838,0.091375769,0
0.263976554,37,0.813073641,-0.143078852,0
0.263976554,30,1.962475488,0.135218363,2
0.340716424,45,1.410275689,0.637425315,1
-0.887121487,57,-0.473320921,-0.485924646,1
-1.040601226,41,-0.258597756,-0.406426821,0
-0.887121487,27,-0.671886371,-0.507124066,2
0.954635379,47,-0.671260727,-0.511948762,1
0.647675901,34,1.704902185,0.172902159,0
-0.810381618,46,-0.290508206,-0.372617401,1
-0.426682271,27,0.719439886,-0.169760881,2
1.568554335,50,-0.516970637,0.576678011,1
-0.50342214,27,0.124299088,0.466331374,2
-0.580162009,35,0.54709438,-0.104846795,0
-0.887121487,22,-0.23584871,-0.431189937,2
0.80115564,37,-0.212873809,-0.208139142,0
1.031375249,30,-0.650121222,-0.338881082,2
-0.887121487,22,-0.541069621,0.013888233,2
-0.887121487,24,-0.71073602,-0.555371023,2
1.491814465,29,-0.680502608,-0.55396382,2
-0.273202532,56,0.385164162,-0.290378271,1
-0.656901879,30,-0.640142067,-0.445645748,2
-0.887121487,30,-0.108321135,-0.436581169,2
-1.117341095,22,-0.462858904,-0.429033444,2
-0.656901879,29,0.159267667,-0.394547836,2
0.570936032,37,-0.373692924,0.983249993,0
-0.656901879,35,-0.344549846,-0.02538552,0
2.566172637,47,0.823032027,3.511810826,1
-0.810381618,24,-0.103232909,-0.357320923,2
-1.117341095,25,-0.548553987,-0.457543009,2
-0.50342214,38,-0.440956165,-0.453028994,0
1.491814465,32,-0.256131524,3.086689351,2
0.263976554,47,2.389320592,0.102249609,1
-0.273202532,34,-0.530802306,-0.237434547,0
-1.117341095,31,-0.354142192,-0.523206385,2
1.108115118,32,0.237618569,0.183300841,2
-0.810381618,27,-0.343171352,-0.431975777,2
0.110496815,29,-0.561663959,-0.137212461,2
0.110496815,24,-0.503551737,0.140317189,2
-0.887121487,36,-0.460377096,-0.070872896,0
-0.887121487,24,-0.086836358,-0.406755777,2
-0.119722793,34,-0.676507311,-0.525838037,0
-1.117341095,22,-0.411984426,-0.102763403,2
2.566172637,34,-0.663939911,-0.15585333,0
-1.040601226,22,-0.37474951,-0.502317646,2
0.110496815,38,-0.678755477,-0.555371023,0
-0.196462662,31,-0.340954339,0.144575348,2
-0.196462662,26,-0.513943662,0.355454752,2
-0.349942401,26,1.107689753,-0.022607665,2
1.491814465,48,2.441752691,0.129955058,1
-1.117341095,43,-0.423848301,0.020997349,0
-0.50342214,47,-0.672828731,-0.463573878,1
0.340716424,41,-0.655632602,-0.427662792,0
-0.656901879,24,0.335403382,-0.302476561,2
1.261594857,50,-0.630178488,-0.356754387,1
0.417456293,24,0.409577266,1.344992512,2
0.340716424,38,-0.674513557,-0.338314546,0
-0.963861357,43,-0.120101938,-0.401784879,0
-1.040601226,39,-0.411745591,-0.400158372,0
2.335953029,27,4.518681146,0.462383896,2
-1.040601226,42,-0.671590423,-0.509865371,0
0.570936032,36,-0.695437591,-0.555371023,0
-0.656901879,36,0.541533675,-0.19900146,0
-0.426682271,31,0.497499746,-0.062776911,2
1.108115118,38,-0.664887463,-0.470061632,0
1.491814465,40,1.099047555,0.031268103,0
1.261594857,45,4.525430835,0.782805821,1
1.031375249,35,3.03503992,0.807642038,0
1.184854987,33,0.454460098,0.20974529,0
-0.887121487,37,-0.047353276,0.071784581,0
0.033756946,28,1.323700551,0.331879535,2
1.415074596,44,-0.658937353,-0.461819444,0
-1.117341095,37,-0.399134057,-0.417136183,0
-0.887121487,23,-0.155003019,-0.389540386,2
-1.117341095,24,-0.514784777,-0.461563589,2
-0.887121487,24,-0.335611701,-0.432341284,2
-1.117341095,23,-0.434972307,-0.314136242,2
-0.887121487,26,-0.167861175,0.393814737,2
0.187236685,34,1.46896423,0.082201537,0
-0.810381618,33,-0.224335299,-0.446906748,0
-0.656901879,35,-0.572053287,0.107896696,0
-0.119722793,27,0.357139975,-0.324644575,2
0.340716424,31,-0.633636406,-0.190064808,2
0.570936032,50,2.728479456,0.376617621,1
-0.196462662,41,-0.379941578,-0.306880923,0
-0.810381618,28,-0.565345135,-0.51361182,2
-0.887121487,39,-0.054424873,-0.321446387,0
-0.887121487,27,-0.241365282,-0.410081893,2
0.110496815,32,-0.642712141,-0.449044966,2
-1.040601226,40,-0.679111134,-0.544497182,0
-1.117341095,40,-0.473307941,-0.447217429,0
0.647675901,75,-0.516069813,-0.341055851,1
-0.50342214,27,-0.170587011,-0.404416531,2
1.261594857,25,-0.016104815,-0.277037257,2
-0.887121487,46,-0.374705377,-0.426950053,1
-0.887121487,26,-0.055416558,-0.371484328,2
-1.040601226,28,-0.329822545,-0.408144705,2
-0.196462662,26,0.958534618,-0.097737679,2
-0.042982923,28,0.195176009,1.86266042,2
1.798773943,29,-0.592359465,-0.284438779,2
-0.887121487,25,-0.230155608,-0.430330995,2
-0.196462662,48,-0.610362961,-0.052780288,1
-0.042982923,33,-0.467290334,0.699433619,0
-0.50342214,43,-0.519307068,-0.555371023,0
0.417456293,48,2.251362153,0.212559695,1
2.642912506,29,0.651610709,2.377276343,2
-0.887121487,29,-0.155781829,-0.253608243,2
-0.042982923,38,-0.516433258,0.251340014,0
0.494196163,37,-0.541204615,0.394070592,0
-0.656901879,37,-0.589701126,-0.026171361,0
-0.119722793,25,-0.662260277,-0.532270965,2
-1.194080965,23,-0.545355673,-0.483512299,2
-0.273202532,49,0.248109143,-0.372873256,1
-0.963861357,48,-0.140792329,-0.387237691,1
-0.887121487,27,-0.489330663,-0.434187096,2
-0.50342214,32,-0.212873809,-0.378355865,2
-0.349942401,34,-0.669243608,-0.522475371,0
0.724415771,58,-0.680702502,-0.555371023,1
0.263976554,33,-0.470758636,-0.3448023,0
1.491814465,28,-0.680702502,-0.555371023,2
-0.733641748,36,0.009201324,-0.039146868,0
2.259213159,40,-0.607912305,-0.044994984,0
-0.887121487,26,-0.673599753,-0.520720936,2
-0.887121487,33,-0.130885863,-0.427370386,0
0.647675901,31,0.887330597,-0.06376378,2
-1.040601226,27,-0.663963275,-0.497547777,2
0.80115564,44,0.582512072,2.080192056,0
0.110496815,30,1.29283111,-0.058427375,2
-0.50342214,28,0.158288962,-0.186245258,2
0.494196163,32,1.052194333,-0.02538552,2
0.340716424,46,-0.13283808,1.646261857,1
0.340716424,38,0.251195827,-0.303097923,0
2.10573342,46,1.46927835,-0.0117521,1
-0.50342214,25,0.367155474,-0.313953488,2
0.570936032,46,-0.535072782,-0.440327618,1
0.87789551,33,-1.553642303,5.799685139,0
-0.887121487,22,-0.680702502,-0.555371023,2
-1.040601226,43,-0.647026749,-0.518820298,0
-1.194080965,27,-0.533123161,-0.455404792,2
-0.273202532,29,-0.680702502,-0.527957979,2
0.263976554,31,1.860705762,0.110309044,2
-0.349942401,29,-0.660544298,-0.396101241,2
0.340716424,36,1.547857703,0.042397798,0
0.87789551,36,0.029676245,-0.341220329,0
1.031375249,34,-0.562842558,0.044042581,0
-0.50342214,37,0.520874436,-0.275703155,0
2.10573342,36,-0.680702502,2.405237647,0
-0.887121487,40,-0.280131858,-0.416368618,0
-1.117341095,25,-0.425130742,-0.345204358,2
0.263976554,27,-0.633361226,-0.319125416,2
-0.426682271,26,-0.647317505,-0.333800532,2
2.566172637,36,-0.557315602,0.121767696,0
1.031375249,27,-0.667164185,-0.460065009,2
-1.040601226,55,-0.491547676,-0.392720299,1
-0.810381618,27,-0.509592709,0.305599564,2
1.798773943,38,-0.625788595,-0.205343011,0
0.110496815,34,1.467946585,0.029440567,0
-1.117341095,40,-0.475493802,-0.361652184,0
0.263976554,49,0.183898837,-0.257738474,1
-0.50342214,27,-0.175766099,-0.466351733,2
-0.810381618,23,-0.235399596,-0.408930546,2
-0.426682271,36,0.108016763,-0.308653633,0
0.724415771,53,-0.675445534,-0.509975023,1
-0.887121487,46,-0.126407704,-0.420645053,1
0.110496815,29,-0.680733655,-0.555371023,2
-0.426682271,29,0.127562303,-0.366147923,2
1.338334726,27,1.715792548,1.09209805,2
-0.887121487,24,-0.598538026,-0.353994807,2
0.494196163,28,-0.537071729,-0.340635517,2
1.491814465,32,0.813078833,0.48632462,2
0.340716424,43,-0.263522433,0.395185389,0
0.417456293,41,-0.671940888,-0.52019095,0
-0.810381618,34,-0.239163846,-0.370588836,0
1.338334726,55,-0.323576487,2.448842661,1
-0.119722793,40,0.939365503,-0.085694215,0
0.263976554,37,-0.557676451,0.383982592,0
-0.273202532,40,-0.508029896,-0.423788415,0
-0.810381618,28,-0.430792692,0.005609494,2
1.798773943,43,-0.473050934,0.906438646,0
-1.117341095,27,-0.37762332,-0.454801705,2
0.187236685,28,1.689152047,0.117820218,2
0.724415771,30,1.793577515,0.248744912,2
-0.196462662,31,-0.679690049,-0.555371023,2
-0.887121487,31,-0.073022861,-0.361524256,2
-0.349942401,34,-0.636606269,-0.186135605,0
0.570936032,30,-0.679747162,-0.515914516,2
-0.887121487,36,-0.631775049,-0.493417545,0
0.263976554,29,-0.481667171,0.012170349,2
0.110496815,39,1.709730808,4.651334483,0
0.110496815,26,1.226985304,-0.067236099,2
-0.042982923,29,-0.655178296,-0.10762465,2
-0.50342214,26,-0.630798941,-0.299991112,2
-0.887121487,29,0.029206363,-0.317791314,2
-0.196462662,31,1.499768769,0.075128972,2
-1.040601226,26,-0.374656053,-0.444549226,2
-0.580162009,26,-0.455932686,0.026553059,2
0.263976554,36,-0.750263234,2.57214653,0
1.645294204,30,-0.680702502,-0.555371023,2
-0.656901879,43,0.106290401,-0.335244285,0
-0.887121487,58,-0.397174052,-0.433419531,1
0.110496815,45,-0.220482785,-0.394895067,1
0.570936032,26,1.201266395,-0.05466265,2
1.645294204,34,2.129662674,0.621745054,0
-0.426682271,24,0.58526906,-0.202656533,2
0.724415771,34,-0.323262367,1.66811919,0
2.566172637,23,6.916988228,0.82441882,2
1.184854987,30,0.451993866,-0.269014373,2
-0.887121487,32,-0.034656074,-0.455130661,2
-0.426682271,40,-0.669025541,-0.508512994,0
0.494196163,35,-0.672099246,-0.499210835,0
1.261594857,56,-0.64010053,-0.261850431,1
-0.887121487,61,-0.113983085,-0.368030285,1
-1.194080965,24,-0.642405809,-0.525216675,2
1.031375249,40,-0.680702502,-0.555371023,0
-1.117341095,32,-0.438412052,-0.497072617,2
0.110496815,36,-0.463835013,-0.555371023,0
-0.042982923,30,-0.521098331,1.63632006,2
-0.580162009,34,-0.021891375,-0.178167548,0
-1.040601226,54,-0.314298262,-0.336066677,1
0.110496815,46,1.490064794,2.907133918,1
-1.040601226,58,-0.352896096,-0.408875719,1
-1.040601226,43,-0.337356236,-0.418525111,0
-0.196462662,28,-0.563818667,0.101555146,2
0.340716424,30,0.169407775,-0.089349287,2
-0.887121487,31,-0.462762851,-0.256989185,2
-0.273202532,29,0.545609448,-0.180726098,2
-0.887121487,37,-0.638135333,-0.491407255,0
-0.196462662,36,0.716984038,0.316363752,0
0.033756946,28,-0.604451791,-0.484115385,2
-0.656901879,25,-0.402275259,-0.224532141,2
1.875513812,42,3.840171313,0.610597083,0
-0.656901879,29,-0.473019781,0.90665795,2
-0.656901879,73,0.399725317,-0.127179287,1
-0.119722793,43,1.770210613,0.117783667,0
0.724415771,30,-0.673989158,1.85359584,2
1.415074596,38,-0.680702502,-0.555371023,0
0.87789551,39,-0.226515968,0.334346709,0
1.108115118,44,0.626229285,-0.188438301,0
-0.196462662,29,-0.373412552,-0.253827547,2
1.491814465,51,-0.51715236,-0.098486969,1
-0.196462662,27,1.547590312,0.241434768,2
-0.50342214,38,-0.055621645,-0.461417386,0
-0.887121487,22,-0.676860372,-0.528323487,2
0.340716424,30,0.791921155,-0.13134607,2
-0.349942401,25,1.146381043,-0.159179446,2
0.570936032,29,1.050610753,3.184389437,2
-0.810381618,42,-0.200418038,-0.374719068,0
-0.119722793,41,-0.662275853,-0.458676081,0
